0.0,0.9063,0.9029,0.891,0.9113,0.9133
1.0,0.889,0.912,0.8877,0.9133,0.9242
2.0,0.8848,0.9233,0.9023,0.9237,0.9114
3.0,0.92,0.9016,0.9043,0.922,0.9279
4.0,0.9138,0.9173,0.9105,0.9266,0.9175
5.0,0.92,0.9184,0.8999,0.9198,0.9204
6.0,0.9041,0.9147,0.8943,0.9208,0.9228
7.0,0.901,0.9211,0.9083,0.9118,0.9281
8.0,0.9076,0.9211,0.9038,0.914,0.9328
9.0,0.9047,0.9219,0.91,0.9242,0.9326
10.0,0.9078,0.9226,0.9118,0.9239,0.9328
11.0,0.9071,0.9184,0.9091,0.927,0.9332
12.0,0.9156,0.9131,0.9089,0.9293,0.9337
13.0,0.9021,0.9177,0.9124,0.9299,0.9313
14.0,0.9136,0.9178,0.9001,0.9281,0.9328
15.0,0.9182,0.9219,0.8868,0.9292,0.9335
16.0,0.9155,0.9202,0.8959,0.9304,0.9328
17.0,0.9211,0.9202,0.9162,0.929,0.9215
18.0,0.9129,0.9195,0.9164,0.9293,0.9317
19.0,0.9014,0.9173,0.9164,0.9303,0.9326
20.0,0.9151,0.9213,0.9177,0.9313,0.9346
21.0,0.9173,0.9186,0.918,0.9271,0.9354
22.0,0.9186,0.9219,0.9156,0.9226,0.935
23.0,0.9188,0.9224,0.9107,0.9215,0.9363
24.0,0.9173,0.92,0.91,0.9253,0.9357
25.0,0.9193,0.9228,0.916,0.9235,0.9361
26.0,0.918,0.9213,0.9155,0.9228,0.935
27.0,0.9195,0.9193,0.914,0.924,0.9355
28.0,0.9166,0.9202,0.9054,0.9217,0.9354
29.0,0.9155,0.9219,0.9094,0.923,0.9355
30.0,0.9175,0.9217,0.9147,0.9253,0.9361
31.0,0.9158,0.9191,0.9155,0.9253,0.9368
32.0,0.9175,0.9173,0.9138,0.9261,0.9363
33.0,0.9182,0.9184,0.9173,0.9266,0.937
34.0,0.9177,0.92,0.9135,0.927,0.937
35.0,0.9178,0.9228,0.9118,0.9261,0.9361
36.0,0.9193,0.9186,0.9109,0.9244,0.9354
